ID	Rep	Compartment	Type	Soils	Genotype	Replicat	seq	SVs	Rarefied_Richness	Huit_sols	Huit_geno	Continent	Genotype_Inscription_Year
262	R41	Rhizosphere	DNA	SEN1	RB	2	522	36	NA	8_sols	No	Africa	2012
379	E49	Endosphere	DNA	SEN2	RB	1	134	7	NA	8_sols	No	Africa	2012
380	E50	Endosphere	DNA	SEN2	RB	2	98	5	NA	8_sols	No	Africa	2012
381	E51	Endosphere	DNA	SEN2	RB	3	77	2	NA	8_sols	No	Africa	2012
114	R49c	Rhizosphere	cDNA	SEN2	RB	1	10809	301	230	8_sols	No	Africa	2012
115	R50c	Rhizosphere	cDNA	SEN2	RB	2	2561	127	121	8_sols	No	Africa	2012
116	R51c	Rhizosphere	cDNA	SEN2	RB	3	1404	45	45	8_sols	No	Africa	2012
270	R49	Rhizosphere	DNA	SEN2	RB	1	10629	413	314	8_sols	No	Africa	2012
272	R51	Rhizosphere	DNA	SEN2	RB	3	9368	356	279	8_sols	No	Africa	2012
271	R50	Rhizosphere	DNA	SEN2	RB	2	9033	320	256	8_sols	No	Africa	2012
46	E100	Endosphere	DNA	FR2	SS	1	64	4	NA	No	No	Europe	1988
47	E101	Endosphere	DNA	FR2	SS	2	132	9	NA	No	No	Europe	1988
48	E102	Endosphere	DNA	FR2	SS	3	144	7	NA	No	No	Europe	1988
320	R101	Rhizosphere	DNA	FR2	SS	2	14510	407	280	No	8_geno	Europe	1988
319	R100	Rhizosphere	DNA	FR2	SS	1	13795	387	278	No	8_geno	Europe	1988
321	R102	Rhizosphere	DNA	FR2	SS	3	11274	338	241	No	8_geno	Europe	1988
24	E78	Endosphere	DNA	FR2	TM	3	286	10	10	No	No	Europe	1907
22	E76	Endosphere	DNA	FR2	TM	1	92	6	NA	No	No	Europe	1907
23	E77	Endosphere	DNA	FR2	TM	2	190	13	NA	No	No	Europe	1907
297	R76	Rhizosphere	DNA	FR2	TM	1	18234	505	315	No	8_geno	Europe	1907
298	R77	Rhizosphere	DNA	FR2	TM	2	15660	402	271	No	8_geno	Europe	1907
299	R78	Rhizosphere	DNA	FR2	TM	3	18208	435	262	No	8_geno	Europe	1907
33	E87	Endosphere	DNA	IT2	TM	3	346	19	19	No	No	Europe	1907
32	E86	Endosphere	DNA	IT2	TM	2	660	20	18	No	No	Europe	1907
31	E85	Endosphere	DNA	IT2	TM	1	85	6	NA	No	No	Europe	1907
307	R86	Rhizosphere	DNA	IT2	TM	2	12855	464	323	No	No	Europe	1907
308	R87	Rhizosphere	DNA	IT2	TM	3	10888	395	305	No	No	Europe	1907
306	R85	Rhizosphere	DNA	IT2	TM	1	3644	189	180	No	No	Europe	1907
